input,output
cine esti,Eu sunt bot-ul Rasa
cum va fi vremea astazi,Vremea este insorita
care este prognoza meteo pentru astazi,Vremea este insorita
afiseaza mi intalnirile in calendar,Planurile sunt alergat
afiseaza mi activitatile existente in calendar,Planurile sunt alergat
deschide mi calendarul,Planurile sunt alergat
ce activitati am planificate in calendar astazi,Planurile sunt alergat
care este starea mea de sanatate,Sanatatea ta este buna
cat am mers astazi,Numarul tau de pasi este 1000
care este tensiunea mea,Tensiunea este 108/76
care este greuatatea mea,Greutatea ta este 50kg
care este pulsul meu,Pulsul tau este 65
cat am dormit,Numarul de ore de somn este 8 ore
afiseaza mi ultimele masuratori ale parametrilor medicali,Sanatatea ta este buna
afiseaza mi parametri medicali,Sanatatea ta este buna
cat este ceasul,Este ora 23:48:46
mergi la pagina principala,Mergi la pagina principala
mergi la pagina anterioara,Mergi la pagina anterioara
mergi la pagina urmatoare,Mergi la pagina urmatoare
Cat e ceasul,Este ora 12:22:08
Care e tensiunea mea,Tensiunea este 108/76
cum stau cu sanatatea,Sanatatea ta este buna
cum stau cu pasii,Numarul tau de pasi este 1000
cum stau cu tensiunea,Tensiunea este 108/76
cum stau cu greutatea,Greutatea ta este 50kg
cum stau cu somnul,Numarul de ore de somn este 8 ore
cum stau cu pulsul,Pulsul tau este 65
afiseaza mi starea mea de sanatate,Sanatatea ta este buna
afiseaza-mi starea mea de sanatate,Sanatatea ta este buna
afiseaza-mi pasii,Numarul tau de pasi este 1000
afiseaza-mi tensiunea,Tensiunea este 108/76
afiseaza-mi greutatea,Greutatea ta este 50kg
afiseaza mi somnul,Numarul de ore de somn este 8 ore
afiseaza-mi pulsul,Pulsul tau este 65
spune-mi de sanatatea mea,Sanatatea ta este buna
spune-mi de pasi,Numarul tau de pasi este 1000
spune-mi de tensiunea mea,Tensiunea este 108/76
spune-mi de greutatea mea,Greutatea ta este 50kg
spune-mi de somnul meu,Numarul de ore de somn este 8 ore
zi de tensiunea mea,Tensiunea este 108/76
arata-mi greutatea,Greutatea ta este 50kg
arata-mi cat am dormit,Numarul de ore de somn este 8 ore
ce ora este,Este ora 12:17:31
spune-mi ora,Este ora 12:17:39
afiseaza ora,Este ora 12:17:48

Cât e ceasul,Este ora 21:28:37
cum stau cu somnul,Numarul de ore de somn este 8 ore
care e greutatea mea care e greutatea mea,Greutatea ta este 50kg
cum stau cu tensiunea,Tensiunea este 108/76
Cum stai cu greutatea,Greutatea ta este 50kg
cum stau cu somnul,Numarul de ore de somn este 8 ore
care e pulsul meu,Pulsul tau este 65
cât am dormit,Numarul de ore de somn este 8 ore
